Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
10,200,200,475,2.5987625122070312e-05,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]"
10,200,200,573,5.364418029785156e-05,"[[1, 2, 4, 5, 6, 7, 8, 9]]"
10,200,200,479,4.863739013671875e-05,"[[0, 1, 2, 3, 4, 7, 8, 9]]"
10,200,200,579,7.534027099609375e-05,"[[0, 2, 5, 6, 7, 8, 9]]"
10,200,200,448,4.76837158203125e-05,"[[1, 3, 4, 6, 7, 8, 9]]"
10,200,200,469,3.6716461181640625e-05,"[[0, 1, 2, 3, 4, 5, 6, 7, 9]]"
10,200,200,459,7.128715515136719e-05,"[[1, 2, 3, 5, 6, 8]]"
10,200,200,415,3.504753112792969e-05,"[[0, 1, 2, 3, 4, 5, 7, 8, 9]]"
10,200,200,364,2.2411346435546875e-05,"[[1, 2, 3, 4, 5, 6, 7, 8, 9]]"
10,200,200,581,4.6253204345703125e-05,"[[0, 1, 3, 4, 5, 7, 8, 9]]"
