Algoritmo,Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
BB,40,500,100,559,0.0002334117889404297,"[[6, 8, 11, 12, 14, 24, 31]]"
BB,40,500,100,768,0.00021576881408691406,"[[10, 12, 18, 24, 28, 29, 31, 33, 35, 37]]"
BB,40,500,100,690,0.0002498626708984375,"[[0, 3, 4, 6, 7, 10, 15, 17, 20, 26, 31, 35, 37]]"
BB,40,500,100,880,0.00030040740966796875,"[[1, 4, 11, 14, 16, 21, 22, 23, 24, 29, 34, 37]]"
BB,40,500,100,622,0.00032782554626464844,"[[2, 4, 5, 11, 14, 17, 21, 30, 32, 35]]"
BB,40,500,100,590,0.00030994415283203125,"[[1, 2, 3, 6, 8, 11, 16, 23, 28, 31, 33]]"
BB,40,500,100,554,0.00015592575073242188,"[[3, 6, 10, 12, 16, 23, 26, 36, 38]]"
BB,40,500,100,806,0.0001671314239501953,"[[0, 3, 5, 9, 16, 18, 20, 22, 23, 24, 28, 38]]"
BB,40,500,100,674,0.0002167224884033203,"[[3, 10, 13, 19, 21, 30, 33, 37, 39]]"
BB,40,500,100,515,0.00031280517578125,"[[7, 12, 13, 30, 32, 33, 34, 38, 39]]"
BB,40,100,100,664,0.0004239082336425781,"[[3, 4, 9, 16, 22, 26, 29, 31]]"
BB,40,100,100,616,0.022045135498046875,"[[1, 8, 10, 14, 19, 20, 28, 32]]"
BB,40,100,100,474,0.001987934112548828,"[[3, 6, 9, 11, 23, 27]]"
BB,40,100,100,566,0.0008718967437744141,"[[3, 13, 21, 23, 27, 34, 35, 37]]"
BB,40,100,100,633,0.0002703666687011719,"[[2, 3, 7, 13, 15, 18, 31, 35]]"
BB,40,100,100,484,0.0032415390014648438,"[[10, 13, 22, 25, 34, 37, 38]]"
BB,40,100,100,476,0.0010280609130859375,"[[4, 5, 10, 19, 20, 31]]"
BB,40,100,100,524,0.0036454200744628906,"[[13, 14, 15, 21, 22, 32, 39]]"
BB,40,100,100,495,0.0014650821685791016,"[[4, 6, 10, 25, 27, 30, 31]]"
BB,40,100,100,529,0.0005466938018798828,"[[0, 1, 4, 19, 20, 24, 26]]"
BB,40,250,100,815,0.0006349086761474609,"[[3, 13, 20, 21, 22, 23, 29, 32, 35, 37]]"
BB,40,250,100,875,0.0002124309539794922,"[[0, 3, 6, 7, 14, 21, 26, 30, 31, 32, 33, 35, 37]]"
BB,40,250,100,811,0.006456613540649414,"[[1, 7, 9, 10, 13, 14, 15, 25, 27, 28, 30]]"
BB,40,250,100,529,0.0002982616424560547,"[[2, 10, 21, 25, 27, 28, 29]]"
BB,40,250,100,629,0.0012845993041992188,"[[2, 3, 6, 8, 15, 22, 34, 37]]"
BB,40,250,100,652,0.00021123886108398438,"[[1, 2, 13, 17, 24, 25, 27, 31, 38]]"
BB,40,250,100,543,0.0003390312194824219,"[[5, 13, 15, 20, 21, 26, 35, 39]]"
BB,40,250,100,967,0.0001430511474609375,"[[2, 4, 5, 6, 7, 9, 15, 18, 23, 28, 32, 33, 37]]"
BB,40,250,100,465,0.00012445449829101562,"[[0, 7, 12, 17, 19, 20, 21, 30]]"
BB,40,250,100,708,0.0003597736358642578,"[[2, 4, 6, 8, 13, 15, 21, 22, 23, 28, 30]]"
BT,40,500,100,559,0.03741788864135742,"[6, 8, 11, 12, 14, 24, 31]"
BT,40,500,100,768,0.6962940692901611,"[10, 12, 18, 24, 28, 29, 31, 33, 35, 37]"
BT,40,500,100,690,0.5070664882659912,"[0, 3, 4, 6, 7, 10, 15, 17, 20, 26, 31, 35, 37]"
BT,40,500,100,880,0.7767307758331299,"[1, 4, 11, 14, 16, 21, 22, 23, 24, 29, 34, 37]"
BT,40,500,100,622,0.07990050315856934,"[2, 4, 5, 11, 14, 17, 21, 30, 32, 35]"
BT,40,500,100,590,0.28423380851745605,"[1, 2, 3, 6, 8, 11, 16, 23, 28, 31, 33]"
BT,40,500,100,554,0.15319156646728516,"[3, 6, 10, 12, 16, 23, 26, 36, 38]"
BT,40,500,100,806,0.5047986507415771,"[0, 3, 5, 9, 16, 18, 20, 22, 23, 24, 28, 38]"
BT,40,500,100,674,0.1251084804534912,"[3, 10, 13, 19, 21, 30, 33, 37, 39]"
BT,40,500,100,515,0.07849884033203125,"[7, 12, 13, 30, 32, 33, 34, 38, 39]"
BT,40,100,100,664,0.03952503204345703,"[3, 4, 9, 16, 22, 26, 29, 31]"
BT,40,100,100,616,0.08118438720703125,"[1, 8, 10, 14, 19, 20, 28, 32]"
BT,40,100,100,474,0.010110139846801758,"[3, 6, 9, 11, 23, 27]"
BT,40,100,100,566,0.030987262725830078,"[0, 12, 21, 23, 27, 34, 35]"
BT,40,100,100,633,0.02893662452697754,"[2, 3, 7, 13, 15, 18, 31, 35]"
BT,40,100,100,484,0.024113893508911133,"[10, 13, 22, 25, 34, 37, 38]"
BT,40,100,100,476,0.010963201522827148,"[4, 5, 10, 19, 20, 31]"
BT,40,100,100,524,0.01291346549987793,"[13, 14, 15, 21, 22, 32, 39]"
BT,40,100,100,495,0.016233205795288086,"[4, 6, 10, 25, 27, 30, 31]"
BT,40,100,100,529,0.021641969680786133,"[0, 1, 4, 19, 20, 24, 26]"
BT,40,250,100,815,0.5612711906433105,"[3, 13, 20, 21, 22, 23, 29, 32, 35, 37]"
BT,40,250,100,875,0.5520169734954834,"[0, 3, 6, 7, 14, 21, 26, 30, 31, 32, 33, 35, 37]"
BT,40,250,100,811,0.4626655578613281,"[1, 7, 9, 10, 13, 14, 15, 25, 27, 28, 30]"
BT,40,250,100,529,0.07347512245178223,"[2, 10, 21, 25, 27, 28, 29]"
BT,40,250,100,629,0.1225736141204834,"[2, 3, 6, 8, 15, 22, 34, 37]"
BT,40,250,100,652,0.1260535717010498,"[1, 2, 13, 17, 24, 25, 27, 31, 38]"
BT,40,250,100,543,0.08942961692810059,"[5, 13, 15, 20, 21, 26, 35, 39]"
BT,40,250,100,967,1.3212096691131592,"[2, 4, 5, 6, 7, 9, 15, 18, 23, 28, 32, 33, 37]"
BT,40,250,100,465,0.06766510009765625,"[0, 7, 12, 17, 19, 20, 21, 30]"
BT,40,250,100,708,0.3113076686859131,"[2, 4, 6, 8, 13, 15, 21, 22, 23, 28, 30]"
DP,40,500,100,559,0.6855299472808838,"[[6, 8, 11, 12, 14, 24, 31]]"
DP,40,500,100,768,0.7176554203033447,"[[10, 12, 18, 24, 28, 29, 31, 33, 35, 37]]"
DP,40,500,100,690,0.7061433792114258,"[[0, 3, 4, 6, 7, 10, 15, 17, 20, 26, 31, 35, 37]]"
DP,40,500,100,880,0.7120671272277832,"[[1, 4, 11, 14, 16, 21, 22, 23, 24, 29, 34, 37]]"
DP,40,500,100,622,0.6911337375640869,"[[2, 4, 5, 11, 14, 17, 21, 30, 32, 35]]"
DP,40,500,100,590,0.7011525630950928,"[[1, 2, 3, 6, 8, 11, 16, 23, 28, 31, 33]]"
DP,40,500,100,554,0.7009353637695312,"[[3, 6, 10, 12, 16, 23, 26, 36, 38]]"
DP,40,500,100,806,0.7236831188201904,"[[0, 3, 5, 9, 16, 18, 20, 22, 23, 24, 28, 38]]"
DP,40,500,100,674,0.7023539543151855,"[[3, 10, 13, 19, 21, 30, 33, 37, 39]]"
DP,40,500,100,515,0.6989316940307617,"[[7, 12, 13, 30, 32, 33, 34, 38, 39]]"
DP,40,100,100,664,0.13216042518615723,"[[3, 4, 9, 16, 22, 26, 29, 31]]"
DP,40,100,100,616,0.13156676292419434,"[[1, 8, 10, 14, 19, 20, 28, 32]]"
DP,40,100,100,474,0.12395429611206055,"[[3, 6, 9, 11, 23, 27]]"
DP,40,100,100,566,0.1286787986755371,"[[0, 12, 21, 23, 27, 34, 35]]"
DP,40,100,100,633,0.12818169593811035,"[[2, 3, 7, 13, 15, 18, 31, 35]]"
DP,40,100,100,484,0.1248023509979248,"[[10, 13, 22, 25, 34, 37, 38]]"
DP,40,100,100,476,0.12387609481811523,"[[4, 5, 10, 19, 20, 31]]"
DP,40,100,100,524,0.12386608123779297,"[[13, 14, 15, 21, 22, 32, 39]]"
DP,40,100,100,495,0.1271200180053711,"[[4, 6, 10, 25, 27, 30, 31]]"
DP,40,100,100,529,0.12722039222717285,"[[0, 1, 4, 19, 20, 24, 26]]"
DP,40,250,100,815,0.339275598526001,"[[3, 13, 20, 21, 22, 23, 29, 32, 35, 37]]"
DP,40,250,100,875,0.3496432304382324,"[[0, 3, 6, 7, 14, 21, 26, 30, 31, 32, 33, 35, 37]]"
DP,40,250,100,811,0.34362149238586426,"[[1, 7, 9, 10, 13, 14, 15, 25, 27, 28, 30]]"
DP,40,250,100,529,0.3409144878387451,"[[2, 10, 21, 25, 27, 28, 29]]"
DP,40,250,100,629,0.3407604694366455,"[[2, 3, 6, 8, 15, 22, 34, 37]]"
DP,40,250,100,652,0.3554682731628418,"[[1, 2, 13, 17, 24, 25, 27, 31, 38]]"
DP,40,250,100,543,0.3376290798187256,"[[5, 13, 15, 20, 21, 26, 35, 39]]"
DP,40,250,100,967,0.35329294204711914,"[[2, 4, 5, 6, 7, 9, 15, 18, 23, 28, 32, 33, 37]]"
DP,40,250,100,465,0.33964991569519043,"[[0, 7, 12, 17, 19, 20, 21, 30]]"
